"","nodes","nTree","r2"
"741",41,8,0.908142653067903
"742",42,8,0.885796703523011
"743",43,8,0.903120271489673
"744",44,8,0.888551925142994
"745",45,8,0.901621434324023
"746",46,8,0.900322479786779
"747",47,8,0.881944939344951
"748",48,8,0.89374358554918
"749",49,8,0.875972180953065
"750",50,8,0.892592826615882
"751",51,8,0.86967767527339
"752",52,8,0.908543774895544
"753",53,8,0.908543774895544
"754",54,8,0.884179156155284
"755",55,8,0.884205927071053
"756",56,8,0.889741653407571
"757",57,8,0.847359698741013
"758",58,8,0.871032597451252
"759",59,8,0.864056648917648
"760",60,8,0.867907717618532
"761",61,8,0.861174207740765
"762",62,8,0.871665104777802
"763",63,8,0.89371824738629
"764",64,8,0.870174743381941
"765",65,8,0.870174743381941
"766",66,8,0.870174743381941
"767",67,8,0.845588676008019
"768",68,8,0.845588676008019
"769",69,8,0.859924569363918
"770",70,8,0.873031931415873
"771",71,8,0.871451333561545
"772",72,8,0.883359849141999
"773",73,8,0.843953355049807
"774",74,8,0.868281523661584
"775",75,8,0.868281523661584
"776",76,8,0.848901194443186
"777",77,8,0.845188915935247
"778",78,8,0.834022798177276
"779",79,8,0.830931193335038
"780",80,8,0.830727327175748
"781",81,8,0.830727327175748
"782",82,8,0.830727327175748
"783",83,8,0.830727327175748
"784",84,8,0.830727327175748
"785",85,8,0.830727327175748
"786",86,8,0.845124179274567
"787",87,8,0.845124179274567
"788",88,8,0.837964643726767
"789",89,8,0.837964643726767
"790",90,8,0.837964643726767
"791",91,8,0.837964643726767
"792",92,8,0.845553317541196
"793",93,8,0.814943963216337
"794",94,8,0.818264341601082
"795",95,8,0.818264341601082
"796",96,8,0.830933834184473
"797",97,8,0.830933834184473
"798",98,8,0.821629988228763
"799",99,8,0.821629988228763
"800",100,8,0.87835811539089
"801",1,9,0.975840565548959
"802",2,9,0.973916821760774
"803",3,9,0.966525656072626
"804",4,9,0.971252722713253
"805",5,9,0.968254255978111
"806",6,9,0.963327127213015
"807",7,9,0.958031607990361
"808",8,9,0.963718810705331
"809",9,9,0.95625114604104
"810",10,9,0.949676264245747
"811",11,9,0.952115866982138
"812",12,9,0.933713379784375
"813",13,9,0.948795467399121
"814",14,9,0.948481035091925
"815",15,9,0.943573054076585
"816",16,9,0.946134915308064
"817",17,9,0.936458549394141
"818",18,9,0.941965854752939
"819",19,9,0.918432771826701
"820",20,9,0.934504804539094
"821",21,9,0.926813865977801
"822",22,9,0.929320313190087
"823",23,9,0.94229386146785
"824",24,9,0.917927213508057
"825",25,9,0.939792957222341
"826",26,9,0.913607277089218
"827",27,9,0.924367777470203
"828",28,9,0.929044092734924
"829",29,9,0.928751814453392
"830",30,9,0.908734810048977
"831",31,9,0.927546961153969
"832",32,9,0.904135438269344
"833",33,9,0.909067054480787
"834",34,9,0.891414232695379
"835",35,9,0.927061959001797
"836",36,9,0.896808569999435
"837",37,9,0.903825550357012
"838",38,9,0.904624077275008
"839",39,9,0.917111576522841
"840",40,9,0.920743252609102
"841",41,9,0.911227702090327
"842",42,9,0.883820042991983
"843",43,9,0.910208312031659
"844",44,9,0.887075513616118
"845",45,9,0.899341076949583
"846",46,9,0.909910627330894
"847",47,9,0.894549601607989
"848",48,9,0.891662008266825
"849",49,9,0.883922612407857
"850",50,9,0.890142905722669
"851",51,9,0.871330990249724
"852",52,9,0.906411351190299
"853",53,9,0.906411351190299
"854",54,9,0.872020083939555
"855",55,9,0.891256435765702
"856",56,9,0.890415630447908
"857",57,9,0.861953737015812
"858",58,9,0.880997130363712
"859",59,9,0.872579770415311
"860",60,9,0.871995882942329
"861",61,9,0.857872079649421
"862",62,9,0.87394168370631
"863",63,9,0.896317839313911
"864",64,9,0.869844900609841
"865",65,9,0.869844900609841
"866",66,9,0.869844900609841
"867",67,9,0.858004875987072
"868",68,9,0.857929462617607
"869",69,9,0.855228003046162
"870",70,9,0.876900525599668
"871",71,9,0.874450405464294
"872",72,9,0.880017338647134
"873",73,9,0.842128389394729
